Region,Serpo,Segmen
NSRO (North Sumatera),Medan Inner 1,Delitua - Asrama Haji
NSRO (North Sumatera),Medan Inner 1,Delitua - Astra
NSRO (North Sumatera),Medan Inner 1,Astra - SGI
NSRO (North Sumatera),Medan Inner 2,Akses Pantai Cermin (To Jl Besar Pantai Cermin)
NSRO (North Sumatera),Medan Inner 2,Akses BTS Lubuk Pakam (to Jl Besar Lubuk Pakam)
NSRO (North Sumatera),Medan Inner 2,Akses Binjai Kuburan - Exist via Jl Olahraga
NSRO (North Sumatera),Medan Inner 2,Akses Binjai Kuburan - Exist via Jl Gurame
NSRO (North Sumatera),Medan Inner 2,B2B Medan-B1 (05MDN014 KIM) - SLACK Jl. Marelan Raya
NSRO (North Sumatera),Medan Inner 2,Akses Krakatau - SLACK Jl. Kol. Yos Sudarso
NSRO (North Sumatera),Padang Sidempuan,Tobotan - Sidomulyo
NSRO (North Sumatera),Padang Sidempuan,Sidomulyo - Sibolga
NSRO (North Sumatera),Padang Sidempuan,Akses Binanga
NSRO (North Sumatera),Padang Sidempuan,Akses Ujung Batu Tapsel
NSRO (North Sumatera),Seribu Dolok,Sidikalang - Rd Pakpak
NSRO (North Sumatera),Seribu Dolok,Sidiangkat - Sidikalang
NSRO (North Sumatera),Seribu Dolok,Kabanjahe - Kandibata
NSRO (North Sumatera),Subulussalam,Rimo Singkil - Simpang Gajah
NSRO (North Sumatera),Subulussalam,Rimo Singkil - RTO Singkil
NSRO (North Sumatera),Subulussalam,Akses Penanggalan (Penanggalan - Simpang Gajah)
NSRO (North Sumatera),Subulussalam,Akses Penanggalan (Penanggalan - Rd Pakpak)
NSRO (North Sumatera),Ujung Tanjung,Ujung Tanjung - BTS
NSRO (North Sumatera),Ujung Tanjung,Ujung Tanjung - BTS New
NSRO (North Sumatera),Dumai,Pangkalan Kerinci - Buatan
NSRO (North Sumatera),Dumai,Pangkalan Kerinci - Sorek
NSRO (North Sumatera),Dumai,Empang Pandan - Buatan
NSRO (North Sumatera),Aster,Duri - Kandis
NSRO (North Sumatera),Kandis/Duri,Kandis - Jondul
NSRO (North Sumatera),Kandis/Duri,Rumbai - Jondul
NSRO (North Sumatera),Kandis/Duri,Perawang - Buatan
NSRO (North Sumatera),Pekanbaru BB,MSC Airport - Pandau
NSRO (North Sumatera),Pekanbaru BB,Pandau - Unri
NSRO (North Sumatera),Pekanbaru Inner,Akses Simpang Panam
NSRO (North Sumatera),Pekanbaru BB,Jondul - Hangtuah
NSRO (North Sumatera),Pekanbaru BB,Hangtuah - Harapan Raya
NSRO (North Sumatera),Pekanbaru BB,Pandau - Sungai Pagar
NSRO (North Sumatera),Dumai,Buatan - Siak Sri Indrapura
NSRO (North Sumatera),Pekanbaru Inner,Pandau - Pantai Raja
NSRO (North Sumatera),Pekanbaru Inner,Sungai Pagar - Kebun Durian
NSRO (North Sumatera),Pekanbaru Inner,Sungai Pagar - Lipat Kain
NSRO (North Sumatera),Pekanbaru Inner,Sungai Pagar - Pantai Raja
NSRO (North Sumatera),Pekanbaru Inner,Kebun Durian - Lipat Kain
NSRO (North Sumatera),Pekanbaru Inner,Lipat Kain - Rd Muara Lembu
NSRO (North Sumatera),Pekanbaru Inner,B2B Bank Mandiri Cabang Pekanbaru Sudirman Atas
NSRO (North Sumatera),Rengat,Air Molek - Simpang Kelayang
NSRO (North Sumatera),Rengat,Simpang Kelayang - Baserah
NSRO (North Sumatera),Rengat,Simpang Kelayang - RSP Kelayang
NSRO (North Sumatera),Rengat,Sorek - Ukui
NSRO (North Sumatera),Rengat,Akses Air Molek
NSRO (North Sumatera),Rengat,Pematang Rebah - Rengat
NSRO (North Sumatera),Rengat,Pematang Rebah - Ukui
NSRO (North Sumatera),Payakumbuh,Pangkalan Tengah - Pangkalan Padang
NSRO (North Sumatera),Payakumbuh,Koto Baru - Aur Kuning
NSRO (North Sumatera),Payakumbuh,Payakumbuh 50 Kota - Payakumbuh 2
NSRO (North Sumatera),Payakumbuh,Payakumbuh 2 - Batusangkar
NSRO (North Sumatera),Payakumbuh,Akses Matur (Matur - Koto Baru)
NSRO (North Sumatera),Payakumbuh,Akses Matur (Matur - Gadut)
NSRO (North Sumatera),Payakumbuh,Gadut - Aur Kuning
NSRO (North Sumatera),Padang,Lubuk Begalung - Lolong
NSRO (North Sumatera),Padang,Lubuk Begalung - Tabing In Kiri
NSRO (North Sumatera),Padang,Lubuk Begalung - Tabing Out Kanan
NSRO (North Sumatera),Padang,"Akses Bayang - Lubuk Begalung by XL (Lubuk Begalung ke HH XL 1,6km/Bayang ke HH XL 8km)"
NSRO (North Sumatera),Padang,Lubuk Begalung - Bayang
NSRO (North Sumatera),Padang,Akses Sawahan
NSRO (North Sumatera),Padang,Akses Jati Tengah
NSRO (North Sumatera),Padang,Akses Bayang - Surantih
NSRO (North Sumatera),Padang,Akses Surantih - Bayang
NSRO (North Sumatera),Padang,Akses Surantih - Air Haji
NSRO (North Sumatera),Solok,Solok XL In
NSRO (North Sumatera),Solok,Solok XL Out
NSRO (North Sumatera),Solok,Batusangkar - Ombilin
NSRO (North Sumatera),Solok,Branching Solok - Ombilin
NSRO (North Sumatera),Bawan,Simpang 4 - Sungai Aur
NSRO (North Sumatera),Bawan,Simpang 4 - Mp4cell
NSRO (North Sumatera),Bawan,Ujung Gading - Sungai Aur
NSRO (North Sumatera),Bawan,Akses Kajai
NSRO (North Sumatera),Bawan,Akses Simpang 3
NSRO (North Sumatera),Bawan,Akses Talu
NSRO (North Sumatera),Panti,Plawas - Lubuk Sikaping
NSRO (North Sumatera),Panti,Plawas - Panti
NSRO (North Sumatera),Panti,Bonjol - Lubuk Sikaping
NSRO (North Sumatera),Bukit Tinggi,Bonjol - Aur Kuning
NSRO (North Sumatera),Panti,Lubuk Sikaping - Panti
NSRO (North Sumatera),Panti,Lubuk Sikaping - Aur Kuning
NSRO (North Sumatera),Panti,Lubuk Sikaping - Air Manggis
NSRO (North Sumatera),Panti,Plawas - Air Manggis
JBRO (Jabo+Sukabumi),Bekasi Barat,Mutiara Gading - Baktiak Bojong & Pondok Ungu
JBRO (Jabo+Sukabumi),Bekasi Barat,Setia Mulya - Mutiara Gading & Baktiak Bojong
JBRO (Jabo+Sukabumi),Bekasi Barat,Suryaman - Dacosta
JBRO (Jabo+Sukabumi),Bekasi Barat,Suryaman - Pondok Kelapa
JBRO (Jabo+Sukabumi),Bekasi Utara,Tanjung Pakis - RKFO Bekasi
JBRO (Jabo+Sukabumi),Bekasi Utara,Tanjung Pakis - SGC Cikarang
JBRO (Jabo+Sukabumi),Bogor Barat,Cipadung - Ciomas
JBRO (Jabo+Sukabumi),Bogor Barat,Cipadung - Petir
JBRO (Jabo+Sukabumi),Bogor Barat,Kampung Manis - Cigudeg
JBRO (Jabo+Sukabumi),Cikarang,Jatireja - Rengas Bandung
JBRO (Jabo+Sukabumi),Cikarang,Jatireja - Tegal Mulya
JBRO (Jabo+Sukabumi),Cikarang,Tegal Mulya - OTB 1
JBRO (Jabo+Sukabumi),Cikarang,Tegal Mulya - OTB 2
JBRO (Jabo+Sukabumi),Cikarang,Pasir Randu
